1701634030.4276135,-7.0,-22.0,6.0,6.0,10.0,3.0,29.0,60.0
1701634030.4276135,14.0,7.0,-6.0,-5.0,-2.0,20.0,29.0,18.0
1701634030.4276135,34.0,15.0,7.0,5.0,-2.0,-33.0,-58.0,53.0
1701634030.4276135,-39.0,6.0,8.0,5.0,1.0,7.0,21.0,-45.0
1701634030.4480555,-1.0,-3.0,-8.0,-18.0,-18.0,-12.0,-3.0,1.0
1701634030.4480555,2.0,5.0,-3.0,6.0,15.0,0.0,-10.0,-28.0
1701634030.4480555,4.0,-23.0,-1.0,-3.0,-2.0,-7.0,-2.0,32.0
1701634030.4480555,-41.0,2.0,4.0,4.0,2.0,-2.0,0.0,-25.0
1701634030.4680638,-36.0,-8.0,-6.0,7.0,2.0,-2.0,2.0,-63.0
1701634030.4680638,-26.0,15.0,8.0,1.0,0.0,-10.0,-5.0,46.0
1701634030.4680638,-22.0,2.0,0.0,5.0,-1.0,-3.0,-30.0,-56.0
1701634030.4680638,-20.0,-61.0,-10.0,-10.0,-1.0,6.0,23.0,-3.0
1701634030.492949,18.0,75.0,16.0,6.0,-5.0,0.0,7.0,4.0
1701634030.492949,-34.0,-48.0,-17.0,-6.0,1.0,4.0,8.0,7.0
1701634030.494264,-10.0,-32.0,-16.0,-11.0,-5.0,1.0,0.0,-16.0
1701634030.494264,22.0,45.0,0.0,0.0,-1.0,3.0,-5.0,-5.0
1701634030.511342,-28.0,-30.0,-7.0,0.0,2.0,2.0,3.0,10.0
1701634030.511342,-1.0,26.0,21.0,13.0,5.0,1.0,5.0,4.0
1701634030.5134115,-22.0,-38.0,-24.0,-9.0,-1.0,6.0,15.0,42.0
1701634030.5134115,-19.0,15.0,16.0,6.0,4.0,2.0,-6.0,-22.0
1701634030.5311115,-56.0,-52.0,-29.0,-20.0,-11.0,-9.0,-20.0,19.0
1701634030.5311115,-30.0,42.0,10.0,4.0,-1.0,-2.0,0.0,-4.0
1701634030.5311115,0.0,-34.0,6.0,8.0,2.0,2.0,18.0,9.0
1701634030.5311115,13.0,67.0,14.0,-1.0,-3.0,-3.0,2.0,3.0
1701634030.5508058,5.0,-27.0,-7.0,0.0,-2.0,-8.0,-20.0,-28.0
1701634030.5508058,-25.0,-82.0,-9.0,0.0,-1.0,-9.0,-7.0,-24.0
1701634030.5508058,-2.0,22.0,6.0,0.0,-6.0,-2.0,-15.0,-42.0
